warehouse,product,alpha,unit_code,long_description,nominal_key,purchase_key,analysis_a,analysis_b,last_supplier,physical_qty,on_order_qty,current_cost,min_stock_level
ES,RSSEG01RB,ROLAND,EACH,SEGMENT ROLLER BRACKT,199,199,199,ROLAND,FM01,0,0,442.91,0
ES,ELMAHESESO,ELEC,EACH,MAGNETIC HEAD SET,099,099,099,ELEC,,0,0,0,0
ES,RS2003DM24V,ROLAND,EACH,2003 DM 24VDC DIGITAL MIX,199,199,199,ROLAND,FB06,0,0,802.79,0
ES,LIGHTBARRIER,ROLAND,EACH,LIGHT BARRIER RECIEVER,199,199,199,ROLAND,FM01,0,0,279.01,0
ES,RSFIDRR01,ROLAND,EACH,FILTER DRIER,199,199,199,ROLAND,FA02,0,0,63.98,0
ES,RSHEEXCH01,ROLAND,EACH,HEAT EXCHANGER,199,199,199,ROLAND,FA02,0,0,1531.38,0
ES,RSTEVLV01,ROLAND,EACH,THERMOSTAT EXPANSION VALVE,199,199,199,ROLAND,FA02,0,0,131.07333,0
ES,1/4 TAPER REAMER,MISC,EACH,1/4 TAPER REAMER,199,199,199,OBS,,0,0,0,0
ES,1440X203X180-80SHORE,ROLLERS,EACH,ROLLERS 1140X203X180 - 80 SHORE,,,199ROLLERS,OBS,,0,0,0,0
ES,1440X205X180X80 SHOR,ROLLERS,EACH,1440X205X180X80SHORE RECOVERED ROLLERS,199,199,199ROLLERS,OBS,BD49,0,0,1205,0
ES,1445X85X64- 30SHORE,ROLLERS,EACH,1445X85X64MM - 30SHORE RECOVERED ROLLERS,199,199,199ROLLERS,OBS,BD49,0,0,440,0
ES,1450X115X95X30SHO,ROLLERS,EACH,1450X115 X 95MM 30SHORE RECOVERED,199,199,199ROLLERS,OBS,,0,0,0,0
ES,1450X120X100X30SHO,ROLLERS,EACH,ROLLERS1450X120X100 -30 SHORE,,,199ROLLERS,OBS,BD49,0,0,560,0
ES,55141300,BO,EACH,SEAL,BO,BO,BO,BO,,0,0,0,0
ES,AC53018900,BO,EACH,ACCUMULATOR,BO,BO,BO,BO,IB01,0,0,413.54,0
ES,AP04185300,BO,EACH,APRON,BO,BO,BO,BO,IB01,0,0,755.13,0
ES,AP04229100,BO,EACH,APRON,BO,BO,BO,BO,IB01,0,0,362.75,0
ES,AR81019900,BO,EACH,ARM,BO,BO,BO,BO,IB01,0,0,509.06,0
ES,AX12512002,BO,EACH,AXLE,BO,BO,BO,BO,IB01,0,0,16.93,0
ES,BE025NAB13,BEARING,EACH,N/A 025 X 40 X 17,199,199,199,,Unknown,0,0,0,0
ES,BE1010HK87,BEARING,EACH,BEARING HK 1010,199,199,199,BEAR,CASH,19,0,19,0
ES,BE1012HK90,BEARING,EACH,HK 1012 NEEDLE BEARING,199,199,199,OBS,BP50,0,0,0,0
ES,BE1152RO85,BEARING,EACH,BEARING ROLLER 1152 1449,199,199,199,,Unknown,0,0,0,0
ES,BE1202BE01,BEARING,EACH,BEARING 1202,199,199,199,,LN10,8,0,29,0
ES,BE1204100,BEARING,EACH,BEARING 1204,199,199,199,BEAR,,0,0,0,0
ES,BE1210HK97,BEARING,EACH,BEARING HK 1210,199,199,199,OBS,Unknown,0,0,0,0
ES,BE1213K91,BEARING,EACH,1213 K BEARING,199,199,199,,Unknown,0,0,0,0
ES,BE127SEL03,BEARING,EACH,SELF ALIGNING 127,199,199,199,,Unknown,0,0,0,0
ES,BE1302J110,BEAR,EACH,BEARINGS 1302J,199,199,199,BEAR,BH03,6,0,26.09,0
ES,BE1312HK71,BEARING,EACH,BEARING HK 1312,199,199,199,,Unknown,0,0,0,0
ES,BE1516HK68,BEARING,EACH,BEARING HK 1516,199,199,199,,Unknown,0,0,0,0
ES,BE16002B04,BEARING,EACH,BEARING 16002,199,199,199,,Unknown,0,0,0,0
ES,BE1612HK69,BEARING,EACH,BEARING (00-550-0006) HK 1612,199,199,199,,Unknown,0,0,0,0
ES,BE16X55117,BEAR,EACH,BEARINGS 16 X5 X5MM,,,199,BEAR,CASH,4,0,8.69,0
ES,BE1730A104,BEARING,EACH,AS 1730 BEARINGS 005202082,199,199,199,OBS,BR03,0,0,0,0
ES,BE1810AR70,BEARING,EACH,BEARING 0810,199,199,199,,Unknown,0,0,0,0
ES,BE1816HK93,BEARING,EACH,BEARING HK182616 DG,199,199,199,BEAR,BH03,8,0,16,0
ES,BE20/16107,BEARING,EACH,NEEDLE ROLLER BEARING OD 32W 16 SHAFT 24,199,199,199,BEAR,BB05,4,0,23.48,0
ES,BE2020HK94,BEARING,EACH,BEARING HK 2020,199,199,199,OBS,Unknown,0,0,0,0
ES,BE205NJ116,BEARING,EACH,BEARING NJ 205,199,199,199,BEAR,BR10,5,0,38.9,0
ES,BE21432A67,BEARING,EACH,BEARING F21432,199,199,199,,Unknown,0,0,0,0
ES,BE2203BE07,BEARING,EACH,BEARING 2203,199,199,199,,Unknown,0,0,0,0
ES,BE2204BE08,BEARING,EACH,BEARING 2204 (EX GWERU),199,199,199,BEAR,BH03,20,0,24.3465,0
ES,BE2206E105,BEARING,EACH,BEARINGS 2206,199,199,199,BEAR,LB07,2,0,34.783,0
ES,BE2207BE11,BEARING,EACH,BEARING 2207,199,199,199,OBS,BT02,0,0,0,0
ES,BE2208AR25,BEARING,EACH,BEARING 2208 2RS,199,199,199,BEAR,BR10,23,0,55,0
ES,BE2303MC12,BEARING,EACH,BEARING 2303 MC 3,199,199,199,,Unknown,0,0,0,0
ES,BE3200BE14,BEARING,EACH,BEARING 3200,199,199,199,OBS,BT02,0,0,0,0
ES,BE3201BE15,BEARING,EACH,BEARING 3201,199,199,199,,Unknown,0,0,0,0
ES,BE3202BE16,BEARING,EACH,BEARING 3202,199,199,199,BEAR,BR10,6,0,21.5,0
